t,command_a,target_erpm,temp_mos_c,temp_motor_c,current_motor_a,current_in_a,id_a,iq_a,duty,erpm,v_in,fault_code,encoder_angle,encoder_age,encoder_erpm,turns,observer_error_deg,observer_error_age
2.0946145999987493,0.0,1200,26.6,-51.3,4.38,0.08,-3.35,3.37,0.025,1205,25.2,0,119.79492,1.4199998986441642e-05,1214.0199162517142,10.364685088888885,167.15828,0.00017600000137463212
2.1207562999989023,0.0,1200,26.6,-51.2,4.02,0.07,-3.07,2.98,0.023,1215,25.2,0,216.848144,1.219999830937013e-05,1225.6728462854803,10.634277377777774,-32.68326,0.00029829999402863905
2.1469085999997333,0.0,1200,26.6,-51.1,3.5,0.06,-2.69,2.77,0.024,1222,25.2,0,314.362784,1.1600001016631722e-05,1231.2502708677796,10.905151377777774,118.59879,0.0003626000034273602
2.173288700003468,0.0,1200,26.6,-51.3,3.14,0.05,-2.5,2.47,0.024,1227,25.2,0,52.229004,1.479999627918005e-05,1236.250985540579,11.177001988888884,-40.88924,0.00045429999590851367
2.199547700001858,0.0,1200,26.6,-51.2,3.02,0.05,-2.33,2.32,0.023,1231,25.2,0,150.183104,1.5300000086426735e-05,1239.0202470884901,11.449096711111107,112.70857,0.0001556999995955266
2.225750600002357,0.0,1200,26.6,-51.1,2.14,0.04,-2.2,2.15,0.022,1234,25.2,0,248.59864,1.4800003555137664e-05,1242.4901977998443,11.722473199999996,-143.80551,0.0002716000017244369
2.2523577000029036,0.0,1200,26.6,-51.1,2.87,0.04,-2.03,2.11,0.023,1237,25.2,0,347.84912,1.6199999663513154e-05,1243.7410338572915,11.998168977777773,101.4039,0.00038779999886173755
2.279013200000918,0.0,1200,26.5,-51.3,1.89,0.04,-1.98,1.95,0.023,1237,25.2,0,87.099608,1.700000575510785e-05,1243.4295802775544,12.273864777777773,-153.70377,0.0004025000016554259
2.3059135000003153,0.0,1200,26.6,-51.3,2.62,0.04,-1.97,1.91,-0.021,1240,25.2,0,188.261712,1.3800003216601908e-05,1246.6898495851117,12.554870622222216,-3.21356,0.0003699000008055009
2.3324590000047465,0.0,1200,26.6,-51.1,1.8,0.03,-1.8,1.92,0.022,1239,25.2,0,287.072768,1.309999788645655e-05,1246.1339051089767,12.829345777777771,-166.94014,0.000454399996669963
2.3587097999989055,0.0,1200,26.6,-51.3,2.28,0.03,-1.9,1.78,0.022,1240,25.2,0,25.620118,1.3600001693703234e-05,1246.2628849269393,13.10308841666666,-29.38875,0.0003437999985180795
2.3851189999986673,0.0,1200,26.6,-51.3,1.82,0.03,-1.79,1.88,0.022,1239,25.2,0,124.211424,1.3999997463542968e-05,1246.2093152777284,13.37695315555555,-178.15954,0.00037989999691490084
2.4111488000053214,0.0,1200,26.6,-51.3,2.28,0.03,-1.87,1.77,0.021,1239,25.2,0,221.308592,1.1399999493733048e-05,1246.601946456687,13.646667511111104,-45.97058,0.00036759999784408137
2.4383468000014545,0.0,1200,26.6,-51.1,1.87,0.03,-1.75,1.85,0.022,1238,25.2,0,321.87744,3.659999492811039e-05,1242.8164000793422,13.926025422222216,114.42114,0.0005290999979479238
2.4650724000021,0.0,1200,26.6,-51.3,1.76,0.03,-1.86,1.78,0.021,1237,25.2,0,61.831056,1.4000004739500582e-05,1243.620911016493,14.203674355555549,-52.95049,0.00027660000341711566
2.4915565000046627,0.0,1200,26.6,-51.3,2.14,0.03,-1.8,1.85,0.021,1237,25.2,0,159.87304,1.2399999832268804e-05,1239.9037734751646,14.476013199999993,101.98425,0.0005380000002332963
2.518137500002922,0.0,1200,26.6,-51.1,1.57,0.03,-1.83,1.81,0.022,1235,25.2,0,259.694832,1.3299999409355223e-05,1241.6160744894748,14.753295955555549,-138.79079,0.0003008999992744066
2.5442985000045155,0.0,1200,26.6,-51.1,2.48,0.03,-1.8,1.81,0.022,1236,25.2,0,357.165536,1.0900002962443978e-05,1241.4032905586246,15.024047911111104,91.74146,0.000335000004270114
2.5722105000022566,0.0,1200,26.6,-51.4,1.53,0.03,-1.83,1.85,0.022,1234,25.2,0,95.119632,3.3899996196851134e-05,1228.1768064736825,15.296142622222215,-153.67754,0.001818799995817244
2.599343300003966,0.0,1200,26.6,-51.3,2.42,0.03,-1.86,1.81,0.022,1236,25.2,0,201.59912,1.0899995686486363e-05,1240.6469252139811,15.59191897777777,-8.25348,0.0003752999982680194
2.625375700001314,0.0,1200,26.6,-51.1,1.74,0.03,-1.77,1.86,0.022,1233,25.2,0,298.059072,1.2399999832268804e-05,1240.947720060932,15.859863288888882,127.25481,0.00032980000105453655
2.652376700003515,0.0,1200,26.6,-51.2,2.37,0.03,-1.9,1.8,0.02,1233,25.2,0,36.14502,1.8399994587525725e-05,1232.8493522459648,16.13232425555555,-18.59955,0.00020319999748608097
2.6789113999984693,0.0,1200,26.6,-51.2,1.68,0.03,-1.81,1.9,0.022,1231,25.2,0,136.384272,1.4599994756281376e-05,1236.258803207087,16.410766622222216,120.87236,0.0003625999961514026
2.7051894000032917,0.0,1200,26.6,-51.2,2.17,0.03,-1.87,1.82,-0.022,1231,25.2,0,233.701168,1.200000406242907e-05,1249.3870885734352,16.681091333333327,-97.27753,0.0003671000013127923
2.731359199999133,0.0,1200,26.6,-51.1,2.05,0.03,-1.84,1.86,0.022,1230,25.2,0,330.710464,1.2399999832268804e-05,1235.002413897559,16.950561599999993,111.70235,0.00031260000105248764
2.757776099999319,0.0,1200,26.6,-51.3,1.77,0.03,-1.92,1.86,0.021,1228,25.2,0,68.33496,1.4199998986441642e-05,1234.365457596461,17.221740755555548,-111.46202,0.0001201999984914437
2.784032700001262,0.0,1200,26.6,-51.3,2.46,0.03,-1.86,1.92,0.022,1229,25.2,0,164.904784,1.9999999494757503e-05,1237.5118596437503,17.48999026666666,113.21104,0.0005210000017541461
2.8112341000014567,0.0,1200,26.6,-51.1,1.63,0.03,-1.87,1.85,0.022,1227,25.2,0,265.385744,1.7099999240599573e-05,1231.8174517508783,17.769104044444436,-118.09947,0.00025380000442964956
2.838087700001779,0.0,1200,26.6,-51.2,2.64,0.04,-1.91,1.87,0.022,1228,25.2,0,4.240722,1.8399994587525725e-05,1230.4715799919823,18.043701205555546,19.33258,0.0006059000006644055
2.8643845000042347,0.0,1200,26.6,-51.4,1.69,0.03,-1.87,1.94,0.022,1227,25.2,0,102.2168,1.189999602502212e-05,1231.609318018993,18.31585697777777,137.72076,0.0004782999967574142
2.8906088000003365,0.0,1200,26.6,-51.3,2.64,0.04,-1.95,1.86,0.022,1228,25.2,0,199.423824,1.5799996617715806e-05,1232.3882901808847,18.585876488888882,24.10037,0.0003001000004587695
2.9173446999993757,0.0,1200,26.6,-51.1,1.76,0.03,-1.82,1.93,0.023,1226,25.2,0,296.982432,1.799999881768599e-05,1230.3273029331099,18.856872622222216,133.93336,0.0006009999997331761
2.9442141000035917,0.0,1200,26.6,-51.3,2.4,0.04,-1.98,1.86,0.022,1226,25.2,0,36.760252,1.2600001355167478e-05,1231.6095119377921,19.134033233333327,-58.88314,0.000494699997943826
2.9705479000040214,0.0,1200,26.6,-51.3,1.95,0.04,-1.88,1.96,0.023,1224,25.2,0,133.571776,1.170000177808106e-05,1231.2779970893046,19.402954133333328,130.63225,0.0004908999981125817
2.9968893000041135,0.0,1200,26.6,-51.3,2.15,0.04,-1.93,1.89,0.022,1224,25.2,0,230.690912,1.1500000255182385e-05,1228.8081916539086,19.672729511111104,-66.23337,0.0005358999987947755
3.0229365000050166,0.0,1200,26.6,-51.1,2.24,0.04,-1.88,1.93,0.023,1223,25.2,0,327.194816,1.1800002539530396e-05,1228.5943294442027,19.940795911111103,128.6962,0.0003091000035055913
